Column1;class;word;sentence1;sentence2
0;0;pot; po drugi smeri, ki se bolj drži cest.  Pot  je dolga okoli 2 uri in 30 minut hoje in  ; Sarja. Usodni strel, kajti po zaostanku z 0:2  poti  nazaj za evropske prvake ni bilo več. Omenjeni zaostanek  
1;0;pot; sem. Moj zastopnik je že odhajal, utirajoč si  pot  proti vratom skozi zmešnjavo igralnih avtomatov. Poslovil sem se  ; PORTOROŽ, 24.  Pota  in kriva pota slovenskega parlamentarizma je bila osrednja tema prvega  
2;0;pot; Evakuacijske  poti , majhne zaloge, itd bi itak moral imeti vsak ;  Pot  za pobeg papežev obnavljajo za turiste 
3;1;pot; Ena izmed  poti  vodi k uničenju ; , vsekakor potrebuješ veliko znanja, poguma in jasno začrtano  pot . Stari pregovor, ki mu kar verjamem, pravi 
4;0;pot; stiku in se kdaj pa kdaj dobimo skupaj. Naše  poti  so tako ali tako prepletene in se dostikrat srečujemo.  ; , in mislim, da s tem hodimo po napačni  poti . 
5;0;pot; razstava v gostišču Pri slonu usodno začrtala njegovo nadaljnjo življenjsko  pot . Po velikem uspehu razstave pastelnih slik rodnega mesta in  ; Strah pred tem, da na  poti  ne bi bilo dovolj hiš s streho nad glavo in  
6;0;pot; Zavorna  pot : ; od prvega praznovanja osmega marca ženske napravile pomembne korake na  poti , na kateri je v glavnem kraljeval moški spol,  
7;0;pot; je neki norec zbil z avtom, je umrl na  poti  v bolnico. ; albuma Speakerboxxx/The Love Below , znašla na različnih  poteh . 
8;0;pot; jutri enako. Po prosti soboti jih v nedeljo čaka  pot  na Finsko, kjer bodo opravili sklepni del priprav. ; je privedlo do tega, da sta skrenili na krivo  pot , bo pokazala preiskava. Šele kasneje bo tudi natančno  
9;1;pot; v drugega zaletavali, obtičali, se prevračali in blokirali  pot . Vmes so rinili, tiščali, se prerivali in  ; in neprecenljivim naporom je vojska po skalnih pobočjih doline zgradila  pot , ki je bila še pred dobrim desetletjem enako divja  
10;0;pot; LP izločil velikega tekmeca iz Anglije, Liverpool pa na  poti  do zmagoslavja v pokalu UEFA v polfinalu katalonsko zasedbo. ; jim šport predstavlja vir zaslužka. Po urejeni rekreacijski krožni  pot , kjer je med drugo svetovno vojno, od leta  
11;0;pot; tolkal, ksilofonov ter bobnov ritmično korakali po glavni sprehajalni  poti  vzdolž otoka. Nekateri našemljeni, nekateri odeti v vsakdanja  ; Bil sem na najboljši  poti  »očiščenja« svojih čustev, ko mi je pet  
12;1;pot; Ratini, Luca Marino. Od teh sta svojo sanremsko  pot  nadaljevala Luca Marino in Nina Zilli. ; njeni sedanji voditelji tuhtajo, kako bi presegli ovire na  poti  do bolj odločnega in enotnega upravljanja, ki bi stari  
13;0;pot; igral. samoperki in svečniku, ki sta rasla ob  poti . Po malici pri Blejski koči smo se poslovili od  ; naj. pa le stopaj previdno in odgovorno po svoji  poti .. lp Brane13 
14;0;pot; je favorit, toda če se bomo vdali že na  poti  v Kidričevo, potem je boljše, da tja sploh  ; ki je sklenil, da bo slovenski voz zapeljal na  pot  demokracije. Ker nisem maral nekdanjega partijskega obdelovanja kulturnikov,  
15;1;pot; Po  poti , ki jo je tlakoval Ligety ; najsodobneje urejene Merkurjeve centre pri nas. Odlikuje ga nakupovalna  pot , ta kupca vodi po trgovini tako, da ima  
16;0;pot; , obsegati pa mora zemljiškoknjižne podatke o zemljišu, ki  pot  potrebuje, in o zemljišču oziroma zemljiščih, po katerih  ; , da s svojo mlado in perspektivno ekipo nadaljuje začrtano  pot . Menim pa, da se bo Maribor pobral in  
17;1;pot; - 12.00 Zmenkarije - 12.30 Bravo, Maestro - 13.00  Pot  v raj, naniz. - 14.00 Sneguljčica in sedem palčkov ; Dragomerja na Ključ poteka po poteh dolomitskega odreda. Na  pot  boste šli ob 9. uri izpred gasilskega doma v Dragomerju 
