,class,word,sentence1,sentence2
0,0,kap," podaš komu na obodu ali ne. Sploh vas bo  kap , ko boste videli, kako silicij izvaja menjave & ", Majico in  kapo  prejmejo: 
1,1,kap," skorumpiran preprodajalec orožja? woe is us. Dež ali  kap , to je vsa izbira. "," , da sem prvič in zadnjič nosil peterokrako zvezdo na  kapi  in da sem v jugoslovanskem filmu igral zadnjega komunista.  "
2,1,kap, izdelki njegovih rok v rojstni hiši. Umrl je od  kapi  pred 1. svetovno vojno. ," s seboj krizopraz. Nesrečnežu, ki ga je ohromila  kap , bo povrnila moči voda, v kateri se je  "
3,1,kap," odkrili, kako lahko zaradi njih nastane srčni infarkt ali  kap . Ko so raziskovalci v epruveti naselili enega od pogostih  "," , čeprav je bilo zunaj borih trideset stopinj. » Kap  te bo,« sem pripomnila. Mi smo bili  "
4,1,kap, to sploh nima veze. Ženska je res carica.  Kapo  dol ," ne bi bilo v sobi. “Z dežja pod  kap , hm? In nisi mogla priti po pomoč k  "
5,0,kap, ISHEMIČNA  KAP  ," Sluga, izjemno bister človek, ki je imel po  kapi  težave z govorom, hodi vsak dan za štiri ure  "
6,1,kap," kovček s pištolama, strelivom, dušilcem, očali,  kapo , lasuljo in nekaj oblačili. Ko so najdeno preiskali "," jih tukaj večkrat gledamo , starine z rdečimi zvezdami na  kapah  ,to je tako če kači odsečeš glavo potem še  "
7,1,kap," celostne podobe sta že lani dobila zlato nagrado za festivalsko  kapo , letošnji festival Lent pa je prejel kar štiri nagrade "," , brisača, bidon z vodo in po možnosti še  kapa . Na vrh pridem vedno ves preznojen in se preoblečem "
8,1,kap," plakata, kuvert in ne nazadnje tudi na majice,  kape  in drug promocijski material. Verjetno bo za marsikoga takšen  ", ..medtem ko pa Antonini na drugi strani sam  kapo  dol letos rasturu! 
9,1,kap," V času ropa je imel prek glave poveznjeno modro pleteno  kapo  z izrezanima odprtinama za oči, oblečen je bil v  "," letve in položena kritina. Tako gre hladen zrak iz  kapi  do slemena in hladi streho, medtem ko spodnja konstrukcija  "
10,0,kap," , ki je vse življenje pil kapučino. Po možganski  kapi  zbere pogum, da obišče bližnji lokal, pride natakarica  "," 10 mm Hg podvoji tveganje, da boste umrli zaradi  kapi ), "
11,1,kap," odstavku že omenjenih uspešnicah) prilezla še Film da te  kap  in tokrat tridimenzionalni Mali vohuni, a to odstopanje zlahka  "," umrl štiri dni po tem, ko ga je zadela  kap . "
12,0,kap," 3. ovratnik, 4. klobčič volne, 5. cof na  kapi , 6. zavihek na škornju, 7. letnica, 8.  ", katerih se je aspirin izkazal kot pomemben dejavnik pri preprečevanju  kapi . Toda ko so v Inštitutu za raziskavo tromboze analizirali  
13,1,kap," bil ves osupel, ko mu je bolnik po možganski  kapi  povedal, da se s sotrpini sestaja v gostilni.  ", Med vožnjo ga je  kap  
14,1,kap," centimetrov, suhe postave, na glavi sta imela zeleni  kapi  z izrezom za oči, eden od njiju je izrazito  "," podelili, pa so: darilna torbica s šalom in  kapo , darilna torbica z družinskim albumom in darilna torbica s  "
15,1,kap," igrač za vnučke, cekar z večnamenskimi brisačami, šilt  kapami  in slamniki, natikači in vodnimi copati, podvodnimi maskami  "," majico, temne hlače, pokrit pa je bil s  kapo  s senčnikom. "
16,0,kap," filmski igralec (James, Misery), 42. škofovska  kapa , 43. začetnici slovenskega skladatelja Savina, 44. ptič severnih  "," njimi skoraj, kot da so prišli z dežja pod  kap . Tudi marsikateri med njimi so delili usodo drugih politično  "
17,0,kap, razvoj srčno-žilnih bolezni ter nastanek srčnega infarkta in  kapi . Te bolezni so še vedno najpogostejši povzročitelji smrti v  ," ""Halo, mama? Ne skrbi, imam  kapo , tako da si ušes ne bom prehladil."" "
18,1,kap," uniforme, le da so si vojaki in oficirji na  kape  pripeli slovensko narodno kokardo. Tudi čini so najprej ostali  "," in kravata, bodo zaslišali skupni poudarjeni zlog ata.  Kapa , ki ne vsebuje tega sklopa, ne bo spadala  "
19,1,kap, . Je slabega zdravja in je v zaporu januarja doživel  kap . ," mora prvi iz skupine hitro obleči v zdravniško haljo,  kapo , rokavice in masko, teči po medvedka in ga  "
20,0,kap,  Kapo  dol Zdovcu za korekten in pošten komentar. Mal je  ," Podivci so živahne, lepe mačkare z visokimi koničastimi  kapami , oblečeni so v belo srajco s črno kravato in  "
21,0,kap," , jutri pa čisto trapasto na primer, če nosiš  kapo  s senčnikom nazaj. Starši in otroci so enako krivi "," Znaki možganske  kapi  so različni, odvisni so predvsem od tega, katera  "
22,1,kap," delegirana prav tako ne, tista ki sta sodila pa  kapo  dol da sta sploh prišla!Se g. Babič  "," pred seboj. Pred dvema letoma je staro mater možganska  kap , ptujske socialne delavke so jo »rešile« tako "
23,1,kap," zagledal ponaredek Vuittonove ženske torbice. Ubogega vuittonovca je skoraj  kap . Takšen izdelek, za katerega bi se vsaka tretja  ", okolje. Zdravnica Jill Bolte Taylor je uspešno prebolela možgansko  kap  in na svojem zgledu pojasnila veliko neznanega v zvezi z  
24,1,kap," , poleti slamnike, veliko se jih je pokrivalo s  kapami . Gospoda je nosila halpkane (polcilindre) in za  "," kot vi!!! Zato, lahko rečem samo  kapo  dol pred vsemi in upam da se bodo '' "
25,1,kap," Tekma da te  kap , VZDUJŠE PA VRHUNSKO!!! Ta letošnja ekipa  "," obraz. 'Umrla je, umrla je zaradi srčne  kapi  točno tako kot v mojih sanjah.' "
26,1,kap," zapuščati že leta 1990, ko ga je zadela prva  kap , zaradi katere 6 mesecev ni mogel govoriti. Ko  "," in res je kapljalo, tudi tam, kap,  kap , kap – to je bilo živ-ljenje in  "
27,0,kap," Več kot 80 odstotkov vseh možganskih kapi predstavlja ishemična možganska  kap , ki je posledica zamašitve žile v možganih. Prepoznava  "," dobesedno popadali v postelje. Kar v majčkah, s  kapami  in trakci Nedeljskega, z lizikami in z orglicami v  "
28,0,kap," zato, ker podatki kažejo, da se po možganski  kapi  to zgodi le v približno tretjini vseh primerov. Tretjina  "," in originalen naslov nebi predvideval kaj takega... kapo  dol režiserju 9,5/10 "
29,0,kap," in oskubljene Applove naprave. Za to jim dam samo  kapo  dol, saj bi resnično lahko prodali še tako neuporaben  "," hemiplegiji, to je ohromelosti polovice telesa kot posledice možganske  kapi , operacije tumorja in poškodbe možganov v različnih življenjskih obdobjih "
30,0,kap,  Kapa  DDP ," kapjo. Raziskava je bila predstavljena na mednarodni konferenci o  kapi , ki so jo organizirali pri ameriški zvezi za kap  "
31,1,kap," tudi z deset let starimi smučmi, brez rokavic,  kape  in ustreznega smučarskega kombinezona. A kljub prepovedi starta je  "," , ga porinil v subaruja, mu čez glavo potegnil  kapo , da ni mogel gledati, kje se vozijo,  "
32,0,kap," lectova srca, ljudska glasbila, nakit, šale,  kape , klobuke, sladke stvari, keramične izdelke in suho  "," več olja. Zmes vtrite v lase, pokrijte s  kapo  ali vrečico, pustite delovati 15 minut, nato jih  "
33,1,kap," asistenti so si jih nataknili na glave, take rdeče  kape , ki so imele na čelu žareče zvezde. “ ","  kapo  dol, legenda in vrjetno najboljši (talent) napadalec  "
34,0,kap," besedah katehistinje Jožice Slatinek, ki pripravlja župnijsko statistiko,  kap  oziroma infarkt, na drugem mestu pa rak. "," God gives a sheet! Kar se tiče Olipmije -  kapo  dol. Kar se tiče Zdovca, Rajgla, Ožblta "
35,0,kap, je že spala v dnevni) da jo je skoraj  kap :) ," hlače, dalje suknen telovnik in suknjič, od pokrival  kapa  ter klobuk, od obuval pa opanke, škornji in  "
36,1,kap," majica, kozarec, kemični svinčnik, jetrna klobasa,  kapa  in drugo. Pri vsakem je zapisano tudi mesto hrambe "," sešteli vse točke, je bil izid dokaj tesen:  kapo  kuharja leta in modri trak si je s svojimi kulinaričnimi  "
37,0,kap," je Srbija dokazno gradivo z mesta umora Aleksinčanke, njegovo  kapo  z vzorci las, skrbno čuvala in je niso dali  ", 8. novembra 1999 umrl v Mariboru v spanju zaradi srčne  kapi . 
38,1,kap, omenjen način so želeli bolniki ob evropskem dnevu preprečevanja možganske  kapi  (10. maj) in svetovnem dnevu ozaveščanja o možganski  ," župnika, ni bil nikoli kaznovan. Če na partizanski  kapi  ne bi bilo rdeče zvezde in bi šlo samo za  "
39,1,kap," z zdravnikom ugotovili, da je Izidor umrl zaradi možganske  kapi . (ob) "," moje trkanje in že sem vstopil. ""Oprostite,  kapo , prišel sem po prispevek za elektriko."" Upravitelj  "
40,1,kap," že je). To je poniževanje človeka. Požun  kapo  dol, imaš ponos, zato je prav, da  "," nekaj fit se niorjev, ki jim mlajši lahko dajo  kapo  dol, zastarelo obcestno prenočišče, a dobro za eno  "
41,1,kap," sem si rokavice, res je bilo mraz, in  kapo , začelo je deževati, in se pred začetkom še  "," naj ti zaupam tudi to, da  kape  nimajo prav nobene veze s tem, ali je policaj  "
42,1,kap, težave v olimpiji in kadru ki ga je imela fantom  kapo  dol ker so se res boril k levi.taka je pač  , 81. letu starosti je včeraj v Kaliforniji za posledicami možganske  kapi  umrl ameriški humorist in avtor stripov o Denisu Pokori Hank  
43,0,kap," Več kot 80 odstotkov vseh možganskih  kapi  predstavlja ishemična možganska kap, ki je posledica zamašitve žile  "," . Tu so tistim, ki so prinesli majice,  kape  in dežnike s tobačnimi logotipi, te menjali za izdelke  "
44,0,kap," z železno verižico. Čez glavo je imel poveznjeno zeleno  kapo  oziroma nogavico z izrezi za oči, nosil je temna  ",  kapa  Kaufman*s Army&Navy 
45,1,kap," vsaj enkrat na teden, 30 odstotkov redkeje doŽivijo srčno  kap  kot tisti, ki le občasno zagrizejo vanjo. Ugotovitev  ", popuščanjem srca. Hipertenzija je tudi najpomembnejši dejavnik tveganja možganske  kapi  in je povezana s popuščanjem ledvic in okvarami oči.  
46,0,kap, reprezentant Miklos Feher (24) se je zaradi srčne  kapi  zgrudil med tekmo portugalskega prvenstva med svojo Benfico in Vitorio  ," hitrejšem celjenju ran, boljšem okrevanju po srčni in možganski  kapi  ter zmanjšanju degeneracije v poškodovanem optičnem živcu in mrežnici tudi  "
47,0,kap," ) bolj vetrnjaška, bolj mladostna. In rute,  kape  ter klobuke tudi še vedno prodajajo. ", MOŽGANSKA  KAP  
48,0,kap," brez počitka in pitja vode, lahko pride do vročinske  kapi . Lahko se pojavi tudi neke vrste psihoza nihanje razpoloženja ", pa zdej pa verjamem da je boljsi od mesija res  kapo  dol ka dela tip.leva noga gol desna noga gol in  
49,1,kap, Rag za dva pa bosta štiriročno na klavir zaigrala Magdalena  Kap  in Miriam Lucia Smolnik. Sledil bo nastop kvarteta saksofonov  ," najprej izdelali svoj poštni rog, nato pa še poštno  kapo . Muzej pošte in telekomunikacij. Med 10. in 12.  "
50,1,kap," naravnost v arterijah in sekunde kasneje v možganih.«  Kap  je mogoče, prvič, preprečiti tako, da potapljač  "," princeska. Do otrok, ki svojo drugačnost prikrivajo s  kapo , ruto ali celo z umetnimi lasmi, je družba  "
51,0,kap," je odvisno tudi od tega, za kako resno možgansko  kap  je šlo in kakšne posledice je pustila. Lahko imamo  ",  kapa  
52,1,kap," in šele potem z družino Clanton. Jep, tudi  kap . Hendryju je bilo v hladnovojni sci-fi klasiki  "," - koncno!!!! Tavares in Mezga -  kapo  dol, ker sta oba mojstra nogometa. Samo nas  "
53,1,kap, in njegova kapa – neločljiva na vseh njegovih nastopih.  Kapa  pa je ročno izdelala njegova mama.  ," vtaknil še drugega. Bender je hotel obesiti svojo kapitansko  kapo  na obešalnik, pa mu je obešalnik rekel, da  "
