Column1;Column2;word;sentence1;sentence2
0;0;kura; vejo kak je in se ga bojo branle, pa  kure  in krave tud. ; do trikrat letno za vsak primer  kuro  s tabletami. trakulje 
1;1;kura; pa znate vozit..samo se nekaj zaletavate kot  kure . sploh pa kaj delate po avtocestah.. se  ; sta se na ..... srečala Kati  Kura  in Pepi Petelin. Nato sta šla v .. 
2;0;kura; . Papige so bile ukradene iz gnezda, vrsta divjih  kur  pa je bila obstreljena. Harpijski orel, največja in  ; naj ne pretiravamo ne s količinami grozdja ne z raztegovanjem  kure . Znak za to je, da smo kljub povečanim  
3;0;kura; tujini bi mogoče dobil zaposlitev: vodja kurnika z 1  kuro , več pa ne. ; , da se za žalovanja v primeru umrlih svojcev » kuri « (uporablja) neka psihična energija – Freud ji  
4;0;kura; Nikoli ne hodim s  kurami  spat, saj zelo rad večerjam. ; ponovno oblikovanje postave, ki po porodu, po shujševalni  kuri  ali zaradi let ni več tako napeta, kot je  
5;1;kura; v prahu, torej nekako tako, kot to počno  kure . Temu izumu ne morejo nasprotovati niti tradicionalisti, preveč  ; Tvoja žena je ena velika  kura , ti pa brezjajčni moški. Uživajta v utrjevanju zakonskih  
6;0;kura; pregrevanja telesa pa pri boreliozi pomaga Najboljši čas za toplotno  kuro  je večer, zatem je priporočljiv hladen vitaminom C v  ; (KrG, 28/11), 2,2 -  Kure  (AJM, 20/9), 2,0 -  
7;1;kura; nastala Pipika ali kura, ali kura ali jajce ali  kura  ali Pipika? ; »Tista  kura  tolsta? Hm,« 
8;0;kura; ljudem, saj jim povrne moč. Priporočljiva je tritedenska  kura : zjutraj na tešče, pred kosilom in eno uro  ; ČRNOMELJ - Prof. Bogomira  Kure  se spominja, da je bilo pred 25 leti,  
9;0;kura; -6), Ornik 3, Konečnik 4,  Kure  8, Hanžič 9 (6-2),  ; gostilno in kot za šalo pospravil pet klobas pa še  kuro  povrhu. Ko je gostilničar prinesel vino, je Josip  
10;0;kura; Če vas zanima na 24  kur , imam na zidu velik napis : 24 kur brez  ; Rezultat shujševalne  kure  je očiten: težo avtomobila so zmanjšali na 1244 kilogramov 
11;1;kura; à  kuro , pri kateri uživate Juha Ultra. ; 570. Naslednik modela 560 je šel na »shujševalno  kuro « in IBM je brez uporabe enot uspel narediti osnovno  
12;0;kura; preuredite v zdravilišče. Znebite se odvečnih kilogramov s sedemdnevno  kuro  in se potopite v svet vode z osvežujočim prhanjem in  ; .? Če še niso vložene pomeni da so vse  kure  iz istega gnezda ! 
13;0;kura; sam, je bilo gosposko. Skrbel sem le za  kure  in zajce, ki jih je bilo treba dvakrat na  ;" 3. Štaudohar 7, 4. Medic 7, 5. Ines  Kure , 6. Mukavec 5; fantje: 1. Mihelič 8 "
14;0;kura; Košmerl Hrib 16, 1318 Loški Potok Kure, Anita  Kure  Gasilska 5 a, 2352 Selnica ob Dravi Gajšek,  ; pa to je že lep cajt nazaj blo na 24  kur  
15;1;kura; je ona  kura  k ne zna več k do pet štet ; Računalniške novice  Kura  z zlatimi jajci Prelomno leto za vstop v 3G Znanje 
