,class,word,sentence1,sentence2
0,0,kap,"podaš komu na obodu ali ne. sploh vas bo kap , ko boste videli, kako silicij izvaja menjave &",majico in kapo prejmejo:
1,0,kap,"skorumpiran preprodajalec orožja? woe is us. dež ali kap , to je vsa izbira.",", da sem prvič in zadnjič nosil peterokrako zvezdo na kapi in da sem v jugoslovanskem filmu igral zadnjega komunista."
2,0,kap,izdelki njegovih rok v rojstni hiši. umrl je od kapi pred 1. svetovno vojno.,"s seboj krizopraz. nesrečnežu, ki ga je ohromila kap , bo povrnila moči voda, v kateri se je"
3,1,kap,"odkrili, kako lahko zaradi njih nastane srčni infarkt ali kap . ko so raziskovalci v epruveti naselili enega od pogostih",", čeprav je bilo zunaj borih trideset stopinj. » kap te bo,« sem pripomnila. mi smo bili"
4,0,kap,to sploh nima veze. ženska je res carica. kapo dol,"ne bi bilo v sobi. “z dežja pod kap , hm? in nisi mogla priti po pomoč k"
5,1,kap,ishemična kap,"sluga, izjemno bister človek, ki je imel po kapi težave z govorom, hodi vsak dan za štiri ure"
6,0,kap,"kovček s pištolama, strelivom, dušilcem, očali, kapo , lasuljo in nekaj oblačili. ko so najdeno preiskali","jih tukaj večkrat gledamo , starine z rdečimi zvezdami na kapah ,to je tako če kači odsečeš glavo potem še"
7,1,kap,"celostne podobe sta že lani dobila zlato nagrado za festivalsko kapo , letošnji festival lent pa je prejel kar štiri nagrade",", brisača, bidon z vodo in po možnosti še kapa . na vrh pridem vedno ves preznojen in se preoblečem"
8,0,kap,"plakata, kuvert in ne nazadnje tudi na majice, kape in drug promocijski material. verjetno bo za marsikoga takšen",..medtem ko pa antonini na drugi strani sam kapo dol letos rasturu!
9,0,kap,"v času ropa je imel prek glave poveznjeno modro pleteno kapo z izrezanima odprtinama za oči, oblečen je bil v","letve in položena kritina. tako gre hladen zrak iz kapi do slemena in hladi streho, medtem ko spodnja konstrukcija"
10,0,kap,", ki je vse življenje pil kapučino. po možganski kapi zbere pogum, da obišče bližnji lokal, pride natakarica","10 mm hg podvoji tveganje, da boste umrli zaradi kapi ),"
11,1,kap,"odstavku že omenjenih uspešnicah) prilezla še film da te kap in tokrat tridimenzionalni mali vohuni, a to odstopanje zlahka","umrl štiri dni po tem, ko ga je zadela kap ."
12,0,kap,"3. ovratnik, 4. klobčič volne, 5. cof na kapi , 6. zavihek na škornju, 7. letnica, 8.",katerih se je aspirin izkazal kot pomemben dejavnik pri preprečevanju kapi . toda ko so v inštitutu za raziskavo tromboze analizirali
13,0,kap,"bil ves osupel, ko mu je bolnik po možganski kapi povedal, da se s sotrpini sestaja v gostilni.",med vožnjo ga je kap
14,0,kap,"centimetrov, suhe postave, na glavi sta imela zeleni kapi z izrezom za oči, eden od njiju je izrazito","podelili, pa so: darilna torbica s šalom in kapo , darilna torbica z družinskim albumom in darilna torbica s"
15,0,kap,"igrač za vnučke, cekar z večnamenskimi brisačami, šilt kapami in slamniki, natikači in vodnimi copati, podvodnimi maskami","majico, temne hlače, pokrit pa je bil s kapo s senčnikom."
16,0,kap,"filmski igralec (james, misery), 42. škofovska kapa , 43. začetnici slovenskega skladatelja savina, 44. ptič severnih","njimi skoraj, kot da so prišli z dežja pod kap . tudi marsikateri med njimi so delili usodo drugih politično"
17,0,kap,razvoj srčno-žilnih bolezni ter nastanek srčnega infarkta in kapi . te bolezni so še vedno najpogostejši povzročitelji smrti v,"""halo, mama? ne skrbi, imam kapo , tako da si ušes ne bom prehladil."""
18,0,kap,"uniforme, le da so si vojaki in oficirji na kape pripeli slovensko narodno kokardo. tudi čini so najprej ostali","in kravata, bodo zaslišali skupni poudarjeni zlog ata. kapa , ki ne vsebuje tega sklopa, ne bo spadala"
19,0,kap,. je slabega zdravja in je v zaporu januarja doživel kap .,"mora prvi iz skupine hitro obleči v zdravniško haljo, kapo , rokavice in masko, teči po medvedka in ga"
20,0,kap,kapo dol zdovcu za korekten in pošten komentar. mal je,"podivci so živahne, lepe mačkare z visokimi koničastimi kapami , oblečeni so v belo srajco s črno kravato in"
21,0,kap,", jutri pa čisto trapasto na primer, če nosiš kapo s senčnikom nazaj. starši in otroci so enako krivi","znaki možganske kapi so različni, odvisni so predvsem od tega, katera"
22,0,kap,"delegirana prav tako ne, tista ki sta sodila pa kapo dol da sta sploh prišla!se g. babič","pred seboj. pred dvema letoma je staro mater možganska kap , ptujske socialne delavke so jo »rešile« tako"
23,1,kap,"zagledal ponaredek vuittonove ženske torbice. ubogega vuittonovca je skoraj kap . takšen izdelek, za katerega bi se vsaka tretja",okolje. zdravnica jill bolte taylor je uspešno prebolela možgansko kap in na svojem zgledu pojasnila veliko neznanega v zvezi z
24,0,kap,", poleti slamnike, veliko se jih je pokrivalo s kapami . gospoda je nosila halpkane (polcilindre) in za","kot vi!!! zato, lahko rečem samo kapo dol pred vsemi in upam da se bodo ''"
25,0,kap,"tekma da te kap , vzdujše pa vrhunsko!!! ta letošnja ekipa","obraz. 'umrla je, umrla je zaradi srčne kapi točno tako kot v mojih sanjah.'"
26,1,kap,"zapuščati že leta 1990, ko ga je zadela prva kap , zaradi katere 6 mesecev ni mogel govoriti. ko","in res je kapljalo, tudi tam, kap, kap , kap – to je bilo živ-ljenje in"
27,0,kap,"več kot 80 odstotkov vseh možganskih kapi predstavlja ishemična možganska kap , ki je posledica zamašitve žile v možganih. prepoznava","dobesedno popadali v postelje. kar v majčkah, s kapami in trakci nedeljskega, z lizikami in z orglicami v"
28,0,kap,"zato, ker podatki kažejo, da se po možganski kapi to zgodi le v približno tretjini vseh primerov. tretjina","in originalen naslov nebi predvideval kaj takega... kapo dol režiserju 9,5/10"
29,0,kap,"in oskubljene applove naprave. za to jim dam samo kapo dol, saj bi resnično lahko prodali še tako neuporaben","hemiplegiji, to je ohromelosti polovice telesa kot posledice možganske kapi , operacije tumorja in poškodbe možganov v različnih življenjskih obdobjih"
