,class,word,sentence1,sentence2
0,,set, + fotografija  set  posode , 1/8  SET  
1,,set," kanalov, je težava pri vas. Preverite vse nastavitve  set -top-boxa (če ga uporabljate) ter  "," Zavoda za zdravstveno varstvo Maribor, kažejo, da igrača  Set  Indijanec, art. 50195, proizvajalca Hansa Postlerja GMBH  "
2,,set, svoje kurirje. Ti v nekaj urah po obvestilu staršev  set  prevzamejo v bolnišnici ter ga pripravijo in opremijo za prevoz  ," nikoli med njimi, pa naj bo to na filmskem  setu  ali v kavarni, nisem opazil nikakršne zavisti, nezdrave  "
3,,set," UPDATE Customer  SET  PersonName = 'Franci', ValidFrom = '2003 "," samo še en krog, v vodstvu pa je bil  Sete  Gibernau. Če bi bila to formula, bi vodilni  "
4,,set," . Pravzaprav bi zanj lahko rekli, da je kuharski  set  v malem, kar pomeni, da bi prenekateri gospodinji  "," obvestili, da je nekdo vdrl v trgovino Elektrotehna- Set  na Mestnem trgu. Vlomilec je pobasal 48 moških brivnikov  "
5,,set," V vevškem  SET-u  se iz kola v kolo bolj zavedajo, da je  "," 5. Lak za nohte L'Oreal Jet- Set , cena: 1.600 SIT "
6,,set," . Tako se je tekma dobro začela šele v drugem  setu , ko so bile Kamničanke enakovreden nasprotnik. Na žalost  "," sets, especially for the convex hull of a point  set , "
7,,set," , Tabor - šentjur, Nafta - Esotech šmartno,  SET  VevRe - Rudar, Drava - Železničar (vse jutri  "," , podvezice in šaljive tangice. Večkrat posegajo tudi po  setu  za kopanje, kjer je ščetka za ščetkanje z lepo  "
8,,set," uspeli ločiti med DNK zaporedjema, ki ležita na dveh  setih  23 kromosomov, ki ju je podedoval od staršev. "," g- d0 d0 g- 1P2: BRE- SET  1:0, SET-BRE 1:1 "
9,,set," 1. Anastasia Beverly Hills podarja bralki sedemdelni  set  za oblikovanje obrvi, s katerim bo svoje obrvi uredila  "," MCI_SET, MCI_ SET _DOOR_CLOSED, 0); "
