Column1;class;word;sentence1;sentence2
0;1;restavracija; v kategoriji gostilne s slovensko hrano, Argentino v kategoriji  restavracije  z nacionalnimi kuhinjami, Restavracija in louge Slon v kategoriji  ;" klubu odlično poskrbljeno za prehrano; na voljo imamo dve  restavraciji , v kateri lahko zahajamo in naročimo, kar si  "
1;1;restavracija; posedate v enem izmed kafičov, se pustite razvajati v  restavraciji  ali pa se enostavno odpravite v kino. ; mesecih so se namreč širile govorice, da je v  restavraciji  nekdo storil samomor, njegovi ostanki pa so ostali v  
2;1;restavracija; Londonu sovražnika, g. Rama, lastnika verige indijskih  restavracij , ki hoče od Malika dobiti kipec indijskega boga,  ; - med strežbo gostom. Vedno nasmejani in uglajeni vodja  restavracije  Zimski vrt Zamorc se je za svoj poklic odločil v  
3;1;restavracija; Italijo ali jih prodajo doma na črnem trgu brezobzirnim lastnikom  restavracij . Policija je med sezono pobiranja tartufov, ki traja  ; Batagelj. Lani je kupil najprej osrednji del kompleksa z  restavracijo , kuhinjo, recepcijo in trgovino (tu bo trgovski  
4;1;restavracija; CIUDAD DE MEXICO V eksploziji plina v neki  restavraciji  na severu Mehike je v soboto umrlo šest ljudi,  ; za marketing in odnose z javnostmi in vodja izmene v  restavraciji . 
5;1;restavracija; Grmovškov dom pod Veliko Kopo je blizu šestdeset ležišč,  restavracija , klubski prostor itd.. Zdaj bo gostinska ponudba na  ; je tudi muzej, grajska tiskarna, klet in zeliščna  restavracija . 
6;1;restavracija;" ""Lahom"" odpraviš, če si pred obrokom v  restavraciji  privoščiš aperitiv, na koncu pa digestiv. Vendar se  "; kakšne dohodke nam Times Square prinaša zdaj. Gledališče,  restavracije , hoteli in potovalne agencije živijo od tega. Ta  
7;1;restavracija; v mestecu s 3500 prebivalci vodila majhno, a znano  restavracijo  s 60 sedeži. Oče, 59-letni Vincenzo  ; Polna skleda v kategoriji samopostrežne restavracije in Paninoteka v kategoriji  restavracije  s hitro prehrano. Znak podeljujejo za eno leto.  
8;1;restavracija; brez varstva, medtem ko njihova mati dela v grški  restavraciji . Uradnikov pomočnik je mater označil za »nemoralno« ; ki sem bila včeraj z njim na kosilu v kitajski  restavraciji . Ker je bil z besedami in v besedah …  
9;1;restavracija;" odrezal. Se lahko zmeniva, da bi bila tista  restavracija  indijska?"" "; pol, preden sva se v Piranu lahko usedla v  restavracijo  ob morju ( fišnčips ). Matematično in statistično navdahnjene  
