,class,word,sentence1,sentence2
0,,skala," ki pa po vrtanju niso videli, da je v  skalah  morda nekaj tako dragocenega), da je prišla na  "," Antena 15, Petrič Planina 14, Zarja 12,  Skala  11, Luka Koper, Železničar in Primskovo po 9 "
0,,skala," gozdenjem ni bilo v njem nič, vendar je bila  skala  trdna in je nudila tu in tam kak oprimek,  ",  Skala  se je sprožila 
0,,skala," ciljali in niso zadeli, so v dolino prihrumele velikanske  skale . Ničesar ne moreš prodati brez zgodbe.  ", 21  Skala  (Fer/3) - Tampere Utd. ( 
1,,skala," bi rešila popolnoma nič. Pod klančino je skrita velikanska  skala , po kateri je spolzelo zemljišče. Pod njihovo hišo  ", v Rakovcu pri Vitanju. Tu je ob šoli izkrčil  skale  in uredil lep šolski vrt. Bil je vztrajen in  
0,,skala," tovornjaki prekucniki. Prevažajo različne materiale: od gramoza,  skal , do tovorov izrednih dimenzij. Težje tovore dvignejo s  "," Redford v Spy Game, se motite. Damon je  skala . In ko se mu zmeša, stojte raje izven  "
0,,skala," Visa, ki nas bo očarala s svojo raznoliko konfiguracijo  skal  in zalivom podobnih kanjonov. Ogledamo si lahko tudi Zeleno  "," Manhattan"", kjer je možno kopanje in skakanje s  skal , visokih tudi sedem. Spust se konča pri Trnovem  "
0,,skala, Malo pod vrhom nanoške Pleše je umetnik v  skalo  ob stezi vklesal dva keruba in naslednjo pesmico:  ," pa je glavni erozijski dejavnik veter, ki je iz  skal  izbrusil neverjetne podobe. Obkrožajo jih peščene sipine. Posamezni  "
0,,skala," ki je za nekaj ur popolnoma ohromil ves promet.  Skalo  so morali najprej razbiti s stroji za gradnjo cest,  "," demokratski stranki (SDS) v sodelovanju z Gorniškim klubom  Skala  organizirajo vsako leto v poletnih mesecih, letos poteka že  "
1,,skala," Zadra, in sicer za rezidenčno-počitniški klub Punta  Skala . Rekonstruirali bodo del obstoječih apartmajev Planika, zgradili nove  "," Mengeš 9:13, Luka Koper - Jadran Hrpelje 15:7,  Skala  - Planina 10:12; vrstni red: Mengeš 20,  "
0,,skala," je najprej porodila ideja, da bi uporabila kar navidezne  skale  iz kakšnega lahkega, dovolj prepričljivega materiala, nazadnje pa  "," Padna 29, Rovna in SGP Gorica po 27,  Skala  in Orlek Javor po 23, Ilirska Bistrica 22,  "
